time_in_cycles,sensor_measurement_1,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_5,sensor_measurement_6,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_10,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_16,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,RUL
13,518.67,642.28,1591.3,1398.35,14.62,21.61,554.24,2388.02,9063.04,1.3,47.26,522.6,2387.95,8146.18,8.3842,0.03,391,2388,100.0,38.97,23.3891,193
14,518.67,641.54,1580.21,1394.5,14.62,21.6,554.58,2387.98,9062.87,1.3,47.16,522.88,2388.02,8143.25,8.4114,0.03,391,2388,100.0,39.07,23.3839,192
15,518.67,641.51,1581.49,1394.42,14.62,21.61,554.65,2388.0,9056.95,1.3,47.03,522.86,2388.04,8143.27,8.4096,0.03,391,2388,100.0,39.11,23.3851,191
16,518.67,641.7,1582.16,1396.54,14.62,21.61,554.01,2388.05,9063.23,1.3,47.17,521.93,2387.97,8149.53,8.4068,0.03,392,2388,100.0,38.99,23.3766,190
17,518.67,642.15,1580.61,1396.98,14.62,21.6,554.92,2388.0,9064.27,1.3,47.16,522.37,2388.02,8147.83,8.3898,0.03,390,2388,100.0,38.98,23.4934,189
18,518.67,641.95,1586.67,1404.49,14.62,21.6,555.28,2387.99,9060.23,1.3,47.04,522.27,2388.01,8147.48,8.4043,0.03,391,2388,100.0,39.02,23.3912,188
19,518.67,642.29,1581.31,1400.27,14.62,21.61,554.73,2387.99,9066.77,1.3,47.06,522.67,2388.02,8147.06,8.4058,0.03,391,2388,100.0,39.15,23.5444,187
20,518.67,642.05,1584.84,1400.89,14.62,21.61,554.77,2387.98,9058.71,1.3,47.19,522.43,2388.03,8155.6,8.3873,0.03,392,2388,100.0,38.89,23.3853,186
21,518.67,641.91,1591.77,1392.16,14.62,21.61,554.95,2388.02,9067.08,1.3,47.12,522.52,2387.98,8151.33,8.4093,0.03,392,2388,100.0,39.04,23.5097,185
22,518.67,641.86,1588.59,1390.01,14.62,21.61,554.26,2387.98,9067.48,1.3,47.19,522.17,2388.02,8151.88,8.3749,0.03,391,2388,100.0,39.12,23.4013,184
23,518.67,642.04,1579.19,1399.27,14.62,21.61,554.59,2387.97,9067.21,1.3,46.99,522.45,2388.02,8145.68,8.4097,0.03,394,2388,100.0,39.01,23.3752,183
24,518.67,642.18,1587.08,1390.74,14.62,21.61,555.02,2388.02,9061.69,1.3,47.17,522.72,2387.99,8145.5,8.3747,0.03,392,2388,100.0,38.81,23.3602,182
25,518.67,641.98,1591.5,1402.42,14.62,21.61,554.55,2388.01,9067.74,1.3,47.15,522.51,2388.02,8142.47,8.416,0.03,393,2388,100.0,38.99,23.3423,181
26,518.67,642.01,1584.11,1399.13,14.62,21.6,554.96,2387.98,9062.98,1.3,47.21,521.93,2387.97,8153.56,8.418,0.03,390,2388,100.0,39.04,23.3954,180
27,518.67,642.21,1589.36,1400.01,14.62,21.61,554.88,2388.01,9066.65,1.3,47.01,522.24,2387.99,8149.0,8.4034,0.03,391,2388,100.0,39.12,23.4602,179
28,518.67,641.88,1584.72,1385.71,14.62,21.61,554.62,2388.01,9065.55,1.3,47.02,522.67,2388.0,8149.54,8.3968,0.03,391,2388,100.0,39.1,23.4088,178
29,518.67,642.45,1581.35,1398.02,14.62,21.61,555.33,2388.04,9071.39,1.3,47.19,522.8,2387.97,8149.63,8.3908,0.03,392,2388,100.0,38.95,23.4049,177
30,518.67,642.82,1589.82,1400.17,14.62,21.61,554.1,2387.93,9066.5,1.3,47.18,522.14,2388.01,8150.64,8.3848,0.03,392,2388,100.0,39.22,23.2993,176
31,518.67,642.2,1586.23,1406.48,14.62,21.61,555.28,2387.96,9062.44,1.3,47.19,522.52,2387.99,8145.5,8.395,0.03,392,2388,100.0,39.03,23.3789,175
32,518.67,642.78,1583.67,1401.34,14.62,21.61,554.47,2387.99,9070.21,1.3,47.17,522.85,2388.02,8150.28,8.4229,0.03,391,2388,100.0,39.02,23.4239,174
33,518.67,642.09,1582.99,1395.06,14.62,21.61,554.2,2388.01,9062.51,1.3,47.14,522.24,2387.97,8146.69,8.4221,0.03,392,2388,100.0,38.96,23.4684,173
34,518.67,642.42,1585.93,1404.77,14.62,21.61,553.91,2388.0,9076.86,1.3,47.09,522.13,2388.03,8147.89,8.379,0.03,392,2388,100.0,39.04,23.3734,172
35,518.67,642.41,1583.26,1397.79,14.62,21.61,554.58,2388.0,9065.73,1.3,47.1,522.4,2388.03,8142.06,8.4025,0.03,391,2388,100.0,38.97,23.462,171
36,518.67,642.18,1579.98,1398.09,14.62,21.61,554.55,2387.97,9068.4,1.3,46.93,522.77,2388.02,8147.32,8.4224,0.03,391,2388,100.0,39.15,23.4538,170
37,518.67,642.28,1577.97,1392.77,14.62,21.61,554.61,2387.99,9068.08,1.3,47.15,522.03,2387.95,8155.75,8.4329,0.03,390,2388,100.0,39.08,23.4256,169
38,518.67,642.5,1583.61,1405.74,14.62,21.61,554.94,2387.98,9070.12,1.3,47.24,522.17,2388.04,8144.72,8.3996,0.03,391,2388,100.0,39.01,23.377,168
39,518.67,642.36,1589.16,1394.71,14.62,21.61,554.59,2388.0,9059.35,1.3,47.05,522.4,2388.01,8144.78,8.363,0.03,392,2388,100.0,39.22,23.2992,167
40,518.67,641.5,1591.2,1403.88,14.62,21.61,554.67,2388.02,9061.82,1.3,47.17,522.72,2388.0,8142.66,8.3696,0.03,392,2388,100.0,39.07,23.3747,166
41,518.67,642.28,1586.38,1396.96,14.62,21.6,555.03,2388.03,9053.87,1.3,47.12,522.32,2387.97,8144.04,8.3868,0.03,390,2388,100.0,39.25,23.3578,165
42,518.67,641.86,1584.7,1402.88,14.62,21.61,554.83,2388.0,9065.31,1.3,47.26,522.26,2388.01,8147.77,8.3755,0.03,391,2388,100.0,39.05,23.4375,164
43,518.67,642.66,1589.46,1392.92,14.62,21.61,554.55,2387.96,9066.85,1.3,47.0,521.54,2388.05,8148.51,8.4011,0.03,391,2388,100.0,39.02,23.4427,163
44,518.67,641.65,1580.1,1400.66,14.62,21.61,554.8,2387.98,9064.95,1.3,46.98,522.48,2387.99,8147.64,8.4104,0.03,391,2388,100.0,38.96,23.3843,162
45,518.67,642.13,1588.43,1396.62,14.62,21.61,554.43,2387.95,9067.82,1.3,47.16,522.95,2388.0,8147.45,8.3598,0.03,393,2388,100.0,38.91,23.3963,161
46,518.67,642.13,1585.19,1394.03,14.62,21.61,554.6,2387.99,9066.65,1.3,47.24,522.23,2388.02,8147.88,8.4113,0.03,391,2388,100.0,39.1,23.4079,160
47,518.67,642.4,1587.61,1389.33,14.62,21.61,555.22,2388.0,9063.22,1.3,47.24,522.38,2387.95,8148.75,8.3867,0.03,392,2388,100.0,39.06,23.5022,159
48,518.67,642.05,1577.93,1394.98,14.62,21.61,554.49,2387.97,9070.86,1.3,47.2,522.29,2387.99,8147.58,8.3988,0.03,392,2388,100.0,39.14,23.4374,158
49,518.67,642.36,1587.12,1398.18,14.62,21.61,554.21,2387.98,9060.9,1.3,47.35,522.21,2388.01,8144.2,8.3946,0.03,390,2388,100.0,39.04,23.4721,157
50,518.67,642.5,1590.88,1402.27,14.62,21.61,553.99,2388.02,9077.16,1.3,47.11,522.17,2388.0,8143.49,8.4317,0.03,391,2388,100.0,38.88,23.3043,156
51,518.67,642.31,1581.69,1395.25,14.62,21.6,554.23,2387.99,9069.29,1.3,47.16,522.73,2387.96,8150.99,8.4164,0.03,389,2388,100.0,39.27,23.3825,155
52,518.67,642.56,1592.02,1403.54,14.62,21.61,554.23,2388.0,9063.13,1.3,47.16,522.42,2388.02,8152.04,8.3851,0.03,392,2388,100.0,38.96,23.4855,154
53,518.67,642.28,1582.38,1399.57,14.62,21.61,554.39,2387.98,9066.03,1.3,47.19,522.35,2387.98,8147.0,8.393,0.03,392,2388,100.0,39.03,23.4273,153
54,518.67,642.02,1583.6,1395.14,14.62,21.61,554.08,2388.03,9070.51,1.3,47.01,522.46,2388.01,8145.47,8.4023,0.03,391,2388,100.0,39.03,23.3276,152
55,518.67,642.2,1584.74,1398.54,14.62,21.61,554.36,2387.99,9066.42,1.3,47.11,522.67,2388.05,8154.02,8.3797,0.03,390,2388,100.0,39.05,23.4415,151
56,518.67,642.08,1586.23,1397.62,14.62,21.6,553.75,2387.99,9065.01,1.3,47.19,522.52,2387.99,8148.84,8.3892,0.03,392,2388,100.0,38.96,23.5103,150
57,518.67,642.07,1586.97,1395.1,14.62,21.61,554.83,2388.02,9063.15,1.3,47.18,522.58,2388.06,8147.9,8.3726,0.03,391,2388,100.0,39.12,23.3589,149
58,518.67,642.18,1589.1,1397.49,14.62,21.6,554.98,2387.93,9073.75,1.3,47.01,522.38,2387.89,8149.03,8.3945,0.03,394,2388,100.0,39.02,23.4619,148
59,518.67,641.92,1576.96,1399.05,14.62,21.61,554.26,2388.03,9065.24,1.3,47.15,522.63,2387.99,8148.32,8.3957,0.03,392,2388,100.0,39.11,23.4974,147
60,518.67,642.08,1584.16,1398.3,14.62,21.61,554.07,2388.05,9066.75,1.3,47.26,522.23,2387.99,8143.32,8.4311,0.03,390,2388,100.0,38.98,23.4596,146
61,518.67,642.15,1585.36,1395.97,14.62,21.61,554.54,2388.04,9064.45,1.3,47.22,522.61,2387.99,8149.75,8.4023,0.03,391,2388,100.0,39.04,23.3855,145
62,518.67,642.13,1590.1,1397.32,14.62,21.61,553.87,2387.99,9073.69,1.3,47.3,522.23,2387.94,8153.62,8.3806,0.03,391,2388,100.0,39.03,23.4648,144
63,518.67,642.65,1580.52,1398.39,14.62,21.61,553.6,2387.99,9060.4,1.3,47.23,522.31,2388.05,8150.06,8.4021,0.03,391,2388,100.0,38.99,23.5165,143
64,518.67,641.59,1582.83,1401.95,14.62,21.61,554.17,2388.05,9067.17,1.3,47.27,521.92,2387.97,8155.86,8.4292,0.03,390,2388,100.0,39.09,23.4162,142
65,518.67,642.23,1581.27,1396.81,14.62,21.61,555.11,2387.96,9068.56,1.3,47.31,522.62,2387.97,8152.68,8.4034,0.03,391,2388,100.0,38.96,23.3961,141
66,518.67,641.65,1578.86,1399.65,14.62,21.61,553.96,2387.97,9064.62,1.3,47.29,522.31,2387.94,8148.14,8.3996,0.03,391,2388,100.0,39.07,23.423,140
67,518.67,642.19,1589.86,1391.47,14.62,21.61,554.61,2387.95,9067.4,1.3,47.11,522.26,2388.02,8147.4,8.4118,0.03,392,2388,100.0,39.12,23.3441,139
68,518.67,642.48,1584.96,1399.81,14.62,21.6,555.2,2387.99,9064.13,1.3,47.12,521.89,2387.98,8148.9,8.4037,0.03,391,2388,100.0,39.0,23.3849,138
69,518.67,641.87,1586.74,1395.76,14.62,21.61,553.94,2388.02,9069.85,1.3,47.26,522.6,2388.03,8152.13,8.4102,0.03,393,2388,100.0,39.36,23.4337,137
70,518.67,642.24,1587.71,1403.58,14.62,21.61,553.76,2387.95,9064.08,1.3,47.33,522.69,2387.98,8154.9,8.393,0.03,392,2388,100.0,38.99,23.4416,136
71,518.67,642.16,1590.26,1399.99,14.62,21.61,554.1,2388.0,9070.85,1.3,47.23,522.04,2387.95,8152.63,8.4134,0.03,391,2388,100.0,38.95,23.3899,135
72,518.67,642.19,1580.6,1400.28,14.62,21.61,554.78,2388.0,9064.94,1.3,47.18,522.33,2388.01,8140.5,8.4214,0.03,393,2388,100.0,39.08,23.3711,134
73,518.67,642.46,1584.08,1399.88,14.62,21.61,554.62,2387.97,9072.61,1.3,47.18,522.4,2388.04,8147.51,8.3792,0.03,390,2388,100.0,38.96,23.3585,133
74,518.67,642.67,1582.78,1392.57,14.62,21.6,554.51,2387.99,9065.88,1.3,47.19,522.16,2388.04,8148.56,8.3924,0.03,393,2388,100.0,39.09,23.3809,132
75,518.67,642.33,1592.17,1396.92,14.62,21.61,554.41,2388.0,9072.75,1.3,47.12,523.04,2388.01,8149.76,8.393,0.03,393,2388,100.0,38.9,23.3814,131
76,518.67,641.41,1585.39,1395.49,14.62,21.61,554.38,2387.94,9069.52,1.3,47.15,522.65,2387.97,8147.99,8.4159,0.03,391,2388,100.0,39.04,23.3169,130
77,518.67,641.72,1583.22,1398.59,14.62,21.61,554.06,2388.0,9072.56,1.3,47.18,522.21,2388.02,8150.86,8.3855,0.03,391,2388,100.0,39.04,23.4064,129
78,518.67,642.13,1586.54,1397.11,14.62,21.61,555.06,2387.98,9070.14,1.3,47.28,522.12,2388.01,8148.74,8.4092,0.03,392,2388,100.0,39.05,23.3036,128
79,518.67,642.07,1584.06,1400.76,14.62,21.61,553.91,2388.02,9066.02,1.3,47.37,522.57,2387.97,8149.4,8.4166,0.03,391,2388,100.0,38.93,23.3686,127
80,518.67,642.19,1584.98,1401.97,14.62,21.61,553.8,2387.99,9065.61,1.3,47.52,523.2,2388.04,8153.49,8.3714,0.03,392,2388,100.0,39.03,23.4801,126
81,518.67,642.17,1586.72,1396.07,14.62,21.61,553.66,2387.97,9069.7,1.3,47.3,521.72,2388.0,8148.32,8.4047,0.03,392,2388,100.0,38.96,23.3708,125
82,518.67,642.42,1590.45,1404.42,14.62,21.61,554.5,2388.01,9072.65,1.3,47.17,521.98,2387.97,8146.29,8.3839,0.03,391,2388,100.0,38.96,23.3618,124
83,518.67,641.91,1580.22,1409.63,14.62,21.61,554.65,2387.94,9071.77,1.3,47.06,523.04,2387.99,8157.26,8.3774,0.03,390,2388,100.0,39.11,23.31,123
84,518.67,642.49,1584.97,1398.25,14.62,21.6,554.37,2387.96,9072.55,1.3,47.15,522.84,2387.97,8151.59,8.4248,0.03,392,2388,100.0,39.05,23.4639,122
85,518.67,642.26,1588.64,1402.06,14.62,21.61,554.15,2387.99,9071.63,1.3,47.29,521.8,2388.06,8150.63,8.4043,0.03,391,2388,100.0,39.08,23.3772,121
86,518.67,642.57,1581.33,1392.92,14.62,21.61,554.57,2388.02,9075.91,1.3,47.22,522.8,2387.98,8157.34,8.4124,0.03,394,2388,100.0,39.02,23.3472,120
87,518.67,642.05,1587.62,1401.59,14.62,21.61,553.83,2388.0,9065.96,1.3,47.21,522.75,2388.08,8153.03,8.3863,0.03,393,2388,100.0,38.93,23.4493,119
88,518.67,642.37,1582.05,1400.27,14.62,21.6,554.81,2388.03,9072.97,1.3,47.3,522.71,2388.03,8150.93,8.3887,0.03,392,2388,100.0,38.92,23.5039,118
89,518.67,642.44,1589.81,1404.92,14.62,21.61,553.41,2388.01,9066.05,1.3,47.35,522.67,2388.03,8152.32,8.3906,0.03,392,2388,100.0,38.9,23.3976,117
90,518.67,642.12,1579.82,1394.82,14.62,21.61,554.58,2388.02,9067.06,1.3,47.38,521.82,2388.0,8152.88,8.4159,0.03,390,2388,100.0,38.97,23.4018,116
91,518.67,641.99,1587.63,1397.43,14.62,21.61,554.45,2387.98,9070.32,1.3,47.25,522.76,2388.03,8151.63,8.4076,0.03,392,2388,100.0,39.06,23.2694,115
92,518.67,642.63,1576.96,1395.11,14.62,21.61,554.82,2388.0,9067.11,1.3,47.31,521.94,2388.06,8149.89,8.4162,0.03,393,2388,100.0,39.02,23.3548,114
93,518.67,642.39,1583.41,1399.33,14.62,21.61,554.0,2388.0,9070.41,1.3,47.17,522.01,2387.98,8154.61,8.4025,0.03,390,2388,100.0,39.01,23.4081,113
94,518.67,642.57,1584.78,1401.19,14.62,21.6,554.61,2388.02,9076.36,1.3,46.97,522.32,2388.0,8156.42,8.3881,0.03,392,2388,100.0,39.03,23.4787,112
95,518.67,642.17,1580.72,1387.98,14.62,21.61,553.98,2388.07,9070.97,1.3,47.2,522.38,2388.04,8152.09,8.4099,0.03,392,2388,100.0,38.97,23.4312,111
96,518.67,641.82,1591.49,1395.83,14.62,21.61,553.95,2388.01,9073.77,1.3,47.17,522.43,2387.98,8156.97,8.4249,0.03,391,2388,100.0,38.94,23.482,110
97,518.67,641.84,1584.82,1394.8,14.62,21.61,553.8,2387.94,9067.78,1.3,47.29,522.04,2387.99,8153.6,8.3765,0.03,391,2388,100.0,38.88,23.3424,109
98,518.67,642.13,1594.36,1399.84,14.62,21.61,554.2,2388.03,9079.95,1.3,47.16,522.22,2388.0,8151.22,8.4142,0.03,392,2388,100.0,38.83,23.4334,108
99,518.67,642.44,1588.52,1399.93,14.62,21.61,553.66,2387.98,9075.45,1.3,47.24,522.49,2387.99,8154.46,8.4208,0.03,392,2388,100.0,38.95,23.3811,107
100,518.67,642.55,1586.72,1400.71,14.62,21.61,554.65,2387.97,9081.38,1.3,47.22,521.68,2387.99,8156.65,8.4137,0.03,391,2388,100.0,38.87,23.2879,106
101,518.67,642.22,1584.23,1395.06,14.62,21.61,554.11,2388.02,9071.65,1.3,47.27,522.75,2387.99,8152.07,8.3805,0.03,393,2388,100.0,38.9,23.5043,105
102,518.67,641.39,1589.97,1403.74,14.62,21.61,553.73,2387.98,9075.95,1.3,47.27,523.14,2387.97,8159.56,8.3728,0.03,392,2388,100.0,39.04,23.3476,104
103,518.67,642.19,1593.35,1395.01,14.62,21.61,554.34,2387.96,9071.28,1.3,47.22,522.42,2388.02,8156.75,8.4319,0.03,391,2388,100.0,39.05,23.322,103
104,518.67,642.28,1587.76,1400.7,14.62,21.61,554.18,2387.97,9073.14,1.3,47.12,522.22,2388.02,8161.29,8.4315,0.03,394,2388,100.0,39.08,23.3444,102
105,518.67,642.24,1585.69,1403.22,14.62,21.61,553.97,2388.02,9062.88,1.3,47.28,521.82,2388.01,8150.85,8.4332,0.03,392,2388,100.0,38.97,23.352,101
106,518.67,642.55,1579.33,1401.31,14.62,21.61,554.8,2388.04,9069.69,1.3,47.14,522.2,2387.96,8154.66,8.4054,0.03,391,2388,100.0,38.9,23.3869,100
107,518.67,642.33,1583.35,1392.76,14.62,21.61,553.54,2387.97,9063.2,1.3,47.28,521.94,2387.95,8155.77,8.4208,0.03,392,2388,100.0,38.82,23.3855,99
108,518.67,642.37,1582.75,1405.54,14.62,21.61,554.38,2387.96,9074.46,1.3,47.21,522.41,2388.04,8155.8,8.3785,0.03,393,2388,100.0,38.84,23.3871,98
109,518.67,642.49,1583.54,1403.3,14.62,21.61,553.95,2388.02,9071.13,1.3,47.25,522.23,2387.92,8152.24,8.41,0.03,394,2388,100.0,38.78,23.4276,97
110,518.67,642.14,1593.82,1408.13,14.62,21.61,554.75,2388.08,9074.71,1.3,47.3,521.47,2388.03,8158.7,8.3876,0.03,392,2388,100.0,39.18,23.3787,96
111,518.67,641.97,1589.18,1403.02,14.62,21.61,555.15,2387.98,9072.9,1.3,47.15,522.28,2388.0,8153.47,8.386,0.03,391,2388,100.0,38.9,23.3983,95
112,518.67,642.43,1585.1,1402.56,14.62,21.61,553.94,2388.02,9080.37,1.3,47.18,522.3,2388.02,8155.73,8.4401,0.03,391,2388,100.0,38.87,23.3649,94
113,518.67,642.38,1578.3,1402.37,14.62,21.61,554.35,2387.96,9075.95,1.3,47.33,522.4,2388.05,8162.28,8.4028,0.03,391,2388,100.0,38.9,23.3391,93
114,518.67,642.01,1588.36,1403.28,14.62,21.61,554.78,2387.98,9077.79,1.3,47.31,522.16,2387.98,8156.98,8.4015,0.03,392,2388,100.0,38.88,23.3298,92
115,518.67,642.52,1591.63,1403.4,14.62,21.61,553.49,2388.0,9079.25,1.3,47.42,522.26,2387.98,8160.26,8.4134,0.03,393,2388,100.0,38.81,23.3996,91
116,518.67,642.42,1596.38,1405.35,14.62,21.61,553.86,2388.02,9076.08,1.3,47.28,522.22,2387.98,8158.49,8.4119,0.03,391,2388,100.0,38.97,23.3689,90
117,518.67,642.13,1590.48,1397.08,14.62,21.61,554.03,2388.06,9068.88,1.3,47.25,522.16,2388.07,8160.58,8.4092,0.03,393,2388,100.0,39.01,23.4359,89
118,518.67,642.32,1578.53,1401.94,14.62,21.61,553.93,2388.02,9083.24,1.3,47.27,522.29,2388.03,8161.43,8.4304,0.03,392,2388,100.0,38.91,23.4723,88
119,518.67,642.35,1583.25,1404.44,14.62,21.61,554.19,2388.02,9076.64,1.3,47.29,522.94,2388.02,8162.4,8.411,0.03,390,2388,100.0,38.84,23.356,87
120,518.67,642.85,1588.27,1408.4,14.62,21.61,553.37,2388.04,9078.36,1.3,47.31,522.37,2388.01,8161.68,8.452,0.03,391,2388,100.0,39.05,23.3408,86
121,518.67,642.22,1588.75,1406.34,14.62,21.61,554.76,2388.04,9076.19,1.3,47.29,522.36,2388.0,8159.8,8.416,0.03,392,2388,100.0,39.03,23.3906,85
122,518.67,641.81,1584.14,1404.24,14.62,21.61,553.58,2387.97,9078.06,1.3,47.47,521.69,2388.0,8155.05,8.4056,0.03,392,2388,100.0,39.1,23.3408,84
123,518.67,642.65,1583.04,1404.96,14.62,21.61,553.6,2388.02,9077.11,1.3,47.32,522.27,2388.0,8155.32,8.4175,0.03,391,2388,100.0,38.99,23.3367,83
124,518.67,642.3,1583.37,1397.39,14.62,21.61,553.77,2388.03,9077.82,1.3,47.42,521.65,2387.99,8162.91,8.4295,0.03,394,2388,100.0,39.01,23.3654,82
125,518.67,641.98,1585.74,1402.92,14.62,21.61,554.5,2388.0,9075.4,1.3,47.28,522.5,2388.01,8156.21,8.4395,0.03,394,2388,100.0,38.86,23.3911,81
126,518.67,642.45,1592.56,1401.07,14.62,21.61,554.35,2388.04,9080.12,1.3,47.3,522.46,2387.97,8163.47,8.4308,0.03,393,2388,100.0,38.97,23.3239,80
127,518.67,642.14,1596.54,1395.72,14.62,21.61,553.8,2387.94,9085.26,1.3,47.41,521.96,2387.99,8165.16,8.4302,0.03,393,2388,100.0,39.05,23.4103,79
128,518.67,641.89,1584.19,1407.29,14.62,21.61,553.89,2388.0,9085.11,1.3,47.15,522.68,2388.04,8159.49,8.4225,0.03,393,2388,100.0,38.98,23.3991,78
129,518.67,642.66,1583.99,1407.27,14.62,21.61,554.53,2388.0,9081.86,1.3,47.27,522.38,2388.0,8166.23,8.3972,0.03,393,2388,100.0,39.07,23.3281,77
130,518.67,642.5,1582.67,1407.47,14.62,21.61,554.35,2387.96,9087.95,1.3,47.61,522.37,2388.08,8160.02,8.4366,0.03,392,2388,100.0,38.9,23.2142,76
131,518.67,642.56,1587.99,1403.68,14.62,21.61,554.49,2387.96,9083.87,1.3,47.45,521.91,2388.04,8161.91,8.4743,0.03,393,2388,100.0,38.93,23.3461,75
132,518.67,641.75,1591.07,1402.53,14.62,21.61,554.76,2387.98,9084.61,1.3,47.44,521.9,2388.03,8159.62,8.4009,0.03,393,2388,100.0,39.07,23.3954,74
133,518.67,642.35,1591.7,1405.99,14.62,21.61,554.63,2388.03,9086.42,1.3,47.46,522.13,2388.04,8168.53,8.4068,0.03,392,2388,100.0,38.77,23.4256,73
134,518.67,642.32,1588.8,1401.51,14.62,21.61,554.72,2388.07,9083.46,1.3,47.4,521.79,2388.02,8162.1,8.4173,0.03,393,2388,100.0,39.1,23.3504,72
135,518.67,642.52,1589.25,1402.29,14.62,21.61,553.95,2387.93,9085.68,1.3,47.45,522.06,2388.05,8167.79,8.4516,0.03,391,2388,100.0,38.81,23.4587,71
136,518.67,642.38,1597.96,1404.71,14.62,21.61,554.43,2387.98,9083.45,1.3,47.32,522.09,2388.04,8166.73,8.407,0.03,394,2388,100.0,38.9,23.3944,70
137,518.67,642.61,1583.6,1412.04,14.62,21.61,554.93,2387.96,9089.74,1.3,47.43,522.18,2387.95,8162.26,8.4462,0.03,393,2388,100.0,38.93,23.2994,69
138,518.67,642.4,1587.44,1405.35,14.62,21.61,553.94,2388.05,9082.6,1.3,47.46,522.33,2388.01,8170.48,8.4317,0.03,392,2388,100.0,38.89,23.4418,68
139,518.67,642.4,1584.67,1403.8,14.62,21.61,554.55,2388.08,9092.79,1.3,47.33,521.11,2387.99,8172.67,8.4168,0.03,393,2388,100.0,38.95,23.2181,67
140,518.67,642.44,1588.5,1400.4,14.62,21.61,553.69,2388.05,9092.26,1.3,47.51,522.02,2387.99,8168.68,8.4379,0.03,392,2388,100.0,38.9,23.3763,66
141,518.67,642.47,1592.92,1394.74,14.62,21.61,554.07,2388.01,9088.85,1.3,47.3,522.26,2387.99,8170.12,8.3915,0.03,393,2388,100.0,38.84,23.3517,65
142,518.67,642.18,1586.81,1398.99,14.62,21.61,553.91,2388.0,9087.59,1.3,47.45,521.15,2387.98,8176.18,8.4013,0.03,393,2388,100.0,38.87,23.2786,64
143,518.67,642.66,1588.08,1407.45,14.62,21.61,554.11,2387.98,9096.82,1.3,47.43,522.07,2388.07,8175.02,8.4184,0.03,391,2388,100.0,38.87,23.4615,63
144,518.67,642.64,1591.75,1407.26,14.62,21.61,553.58,2387.98,9091.36,1.3,47.52,521.64,2388.07,8168.54,8.428,0.03,393,2388,100.0,38.93,23.3727,62
145,518.67,642.54,1588.72,1403.46,14.62,21.61,554.48,2388.05,9094.33,1.3,47.63,521.93,2388.01,8172.22,8.4346,0.03,393,2388,100.0,39.02,23.288,61
146,518.67,642.47,1586.74,1410.84,14.62,21.61,553.41,2388.05,9097.12,1.3,47.44,521.31,2388.01,8167.75,8.4328,0.03,394,2388,100.0,38.88,23.3388,60
